Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
94.2,9158761074,254,36058114.5,35200944.0,32862496,48240064,2573146.2,cudaDeviceSynchronize
2.3,221709521,1,221709521.0,221709521.0,221709521,221709521,0.0,cudaProfilerStart
1.2,113913088,265,429860.7,9248.0,464,34286128,3024913.5,cudaStreamSynchronize
1.1,105715984,1277,82784.6,36608.0,1856,843984,155186.4,cudaFreeHost
0.5,50129536,255,196586.4,184224.0,156176,535808,47260.7,cudaGraphLaunch
0.5,48147601,5349,9001.2,4448.0,656,281536,22273.8,cudaLaunchKernel
0.2,15703904,2811,5586.6,4432.0,1248,96432,6770.2,cudaMemcpyAsync
0.1,6268768,1275,4916.7,3200.0,2400,38784,4056.1,cudaHostAlloc
0.0,3200832,1,3200832.0,3200832.0,3200832,3200832,0.0,cudaGraphInstantiate
0.0,2086704,189,11040.8,4304.0,704,272048,33812.4,cudaLaunchKernelExC
0.0,632784,5349,118.3,80.0,32,1552,108.9,cuKernelGetName
0.0,422896,1,422896.0,422896.0,422896,422896,0.0,cudaGraphDestroy
0.0,55520,2,27760.0,27760.0,27088,28432,950.4,cudaMemGetInfo
0.0,37456,5,7491.2,4624.0,2704,21328,7780.9,cudaFree
0.0,30304,66,459.2,336.0,208,6784,805.6,cudaStreamIsCapturing
0.0,28272,1,28272.0,28272.0,28272,28272,0.0,cudaStreamEndCapture
0.0,21568,3,7189.3,8272.0,1552,11744,5181.5,cuLaunchKernel
0.0,16656,132,126.2,112.0,64,1408,120.5,cuStreamGetGreenCtx
0.0,10368,1,10368.0,10368.0,10368,10368,0.0,cudaStreamBeginCapture
0.0,4768,3,1589.3,1552.0,1264,1952,345.5,cuKernelGetFunction
