Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
35.2,24968576,14,1783469.7,1868416.0,1348992,2049696,209857.3,"void onnxruntime::flash::flash_fwd_splitkv_kernel<onnxruntime::flash::Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::half_t, onnxruntime::flash::Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::half_t>>, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(onnxruntime::flash::Flash_fwd_params)"
19.1,13518784,544,24850.7,25728.0,8672,59904,15267.5,"void onnxruntime::contrib::cuda::MatMulFloat4BitsKernelM1<__half, (int)64, (bool)0>(T1 *, const T1 *, const unsigned char *, const T1 *, const unsigned char *, int, int, int, int)"
15.7,11126176,2,5563088.0,5563088.0,5541472,5584704,30569.6,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2>(T1::Params)
7.4,5249024,42,124976.8,123504.0,120000,140512,4705.0,"void onnxruntime::llm::kernels::fpA_intB_gemv::moe_gemv_interleaved_swiglu_kernel<onnxruntime::llm::kernels::fpA_intB_gemv::KernelDetails<onnxruntime::llm::kernels::fpA_intB_gemv::FP16DetailsA, onnxruntime::llm::kernels::fpA_intB_gemv::Int4DetailsW, onnxruntime::llm::kernels::fpA_intB_gemv::ColumnMajorInterleaved, (bool)1, (int)64>, (int)8, (int)128, (int)0, (bool)0, __half, __half>(T6 *, unsigned char *, T6 *, T6 *, T6 *, const long long *, const int *, int, long long, long long, int, int, onnxruntime::llm::kernels::cutlass_kernels::ActivationParams, const int *, int)"
5.2,3720864,255,14591.6,13312.0,12928,49568,5549.3,"void Generators::cuda::select_sort::GetTop1Kernel<(int)1024>(const float *, float *, int *, int, int)"
3.7,2651392,42,63128.4,62432.0,60672,68768,2320.2,"void onnxruntime::llm::kernels::fpA_intB_gemv::moe_gemv_fused_finalize_kernel<onnxruntime::llm::kernels::fpA_intB_gemv::KernelDetails<onnxruntime::llm::kernels::fpA_intB_gemv::FP16DetailsA, onnxruntime::llm::kernels::fpA_intB_gemv::Int4DetailsW, onnxruntime::llm::kernels::fpA_intB_gemv::ColumnMajorInterleaved, (bool)1, (int)64>, (int)2, (int)128, (int)0, (bool)0, __half, __half>(T6 *, unsigned char *, T6 *, T6 *, T6 *, const int *, const int *, const float *, int, long long, long long, int, int, int, int)"
3.2,2248256,506,4443.2,5056.0,2272,12416,1637.5,"void onnxruntime::cuda::cuApplyLayerNorm<float, float, float, (bool)1>(T3 *, T2 *, T2 *, const T1 *, int, int, T2, const T3 *, const T3 *, int, const T1 *, const T1 *, T1 *)"
2.9,2072256,70,29603.7,29456.0,22656,36832,3449.2,"void onnxruntime::flash::flash_fwd_splitkv_kernel<onnxruntime::flash::Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::half_t, onnxruntime::flash::Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::half_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(onnxruntime::flash::Flash_fwd_params)"
1.1,747456,42,17796.6,17584.0,16160,19712,781.4,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)0, (bool)0, (int)9, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)"
0.9,652992,255,2560.8,2528.0,2464,4064,135.6,"Generators::cuda::CheckForEOSAndPad(int *, int, bool *, const int *, int, int, bool *)"
