Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
33.0,17612395673,193,91255936.1,6320.0,496,320918368,130531941.3,cudaStreamSynchronize
32.8,17501141924,53760,325542.1,7376.0,3296,19865088,2123985.7,cudaLaunchKernelExC
31.3,16718484054,119176,140284.0,7184.0,3328,16208368,1386659.7,cudaLaunchKernel
2.3,1226833584,18816,65201.6,7680.0,3440,15988608,906781.5,cuLaunchKernelEx
0.4,219553761,1,219553761.0,219553761.0,219553761,219553761,0.0,cudaProfilerStart
0.0,18725120,119176,157.1,96.0,16,93824,512.2,cuKernelGetName
0.0,13850192,18816,736.1,224.0,128,2999632,21949.2,cuKernelSetAttribute
0.0,13628592,321,42456.7,32832.0,1888,853168,61309.0,cudaFreeHost
0.0,11621920,711,16345.9,9216.0,1424,192400,24855.7,cudaMemcpyAsync
0.0,4951680,37760,131.1,96.0,16,36368,306.7,cuStreamGetGreenCtx
0.0,3897104,1408,2767.8,1776.0,288,21088,3023.6,cudaStreamIsCapturing
0.0,3584624,321,11167.1,5536.0,3200,72544,12005.6,cudaHostAlloc
0.0,754432,64,11788.0,8408.0,5248,69120,9087.3,cuLaunchKernel
0.0,244576,64,3821.5,3504.0,1376,9104,2092.8,cuKernelGetFunction
0.0,234928,4,58732.0,58048.0,46880,71952,11646.5,cuLibraryLoadData
0.0,31200,4,7800.0,4120.0,2880,20080,8211.9,cudaMalloc
0.0,16608,3,5536.0,3728.0,3088,9792,3699.7,cudaMemsetAsync
0.0,1280,1,1280.0,1280.0,1280,1280,0.0,cudaGetDeviceProperties
0.0,1264,4,316.0,320.0,240,384,78.8,cuLibraryGetKernel
