Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
78.4,1491569942,62,24057579.7,23844912.0,22989808,26426369,807993.4,cudaDeviceSynchronize
12.0,227504752,1,227504752.0,227504752.0,227504752,227504752,0.0,cudaProfilerStart
2.5,47784928,63,758490.9,665600.0,458000,2263424,295187.5,cudaGraphLaunch
2.4,46409632,73,635748.4,19584.0,432,22076512,3043485.9,cudaStreamSynchronize
2.0,37652176,4011,9387.2,4368.0,704,275936,25179.1,cudaLaunchKernel
1.3,25222128,1,25222128.0,25222128.0,25222128,25222128,0.0,cudaGraphInstantiate
0.7,13238048,317,41760.4,43616.0,1872,549280,48408.1,cudaFreeHost
0.2,4365760,696,6272.6,5472.0,1200,108352,8738.5,cudaMemcpyAsync
0.1,2578400,315,8185.4,4352.0,720,180112,20367.4,cudaLaunchKernelExC
0.1,1631249,315,5178.6,3120.0,2496,40784,5126.1,cudaHostAlloc
0.1,1442096,63,22890.4,8416.0,6592,70096,21001.2,cudaLaunchCooperativeKernel
0.0,804000,126,6381.0,3376.0,528,125648,15415.7,cudaMemsetAsync
0.0,560240,1,560240.0,560240.0,560240,560240,0.0,cudaGraphDestroy
0.0,415792,4011,103.7,80.0,32,15040,252.6,cuKernelGetName
0.0,264720,3,88240.0,39008.0,1312,224400,119414.8,cuLaunchKernel
0.0,64816,2,32408.0,32408.0,29488,35328,4129.5,cudaMemGetInfo
0.0,27088,66,410.4,296.0,192,5360,657.1,cudaStreamIsCapturing
0.0,24576,1,24576.0,24576.0,24576,24576,0.0,cudaStreamEndCapture
0.0,23888,5,4777.6,2848.0,2560,12432,4291.7,cudaFree
0.0,14928,132,113.1,96.0,64,480,52.1,cuStreamGetGreenCtx
0.0,4112,3,1370.7,1296.0,960,1856,452.6,cuKernelGetFunction
0.0,3696,1,3696.0,3696.0,3696,3696,0.0,cudaStreamBeginCapture
