Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
28.3,446223008,17680,25238.9,26048.0,8544,684864,20956.9,"void onnxruntime::contrib::cuda::MatMulFloat4BitsKernelM1<__half, (int)64, (bool)0>(T1 *, const T1 *, const unsigned char *, const T1 *, const unsigned char *, int, int, int, int)"
24.7,389600514,65,5993854.1,5897760.0,5630624,6977568,357085.1,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2>(T1::Params)
19.0,299859617,2730,109838.7,14688.0,12480,1428064,214914.4,"onnxruntime::contrib::cuda::H128::grp6_fp16_fp16_paged::kernel_mha(unsigned int, unsigned int, float, Vec<__half, (unsigned int)128> *, const Vec<__half, (unsigned int)128> *, const float *, KVCacheList<(bool)1>, unsigned int, const float *, const float *, unsigned int *, void *)"
10.9,172734210,1365,126545.2,123616.0,119264,629696,25017.4,"void onnxruntime::llm::kernels::fpA_intB_gemv::moe_gemv_interleaved_swiglu_kernel<onnxruntime::llm::kernels::fpA_intB_gemv::KernelDetails<onnxruntime::llm::kernels::fpA_intB_gemv::FP16DetailsA, onnxruntime::llm::kernels::fpA_intB_gemv::Int4DetailsW, onnxruntime::llm::kernels::fpA_intB_gemv::ColumnMajorInterleaved, (bool)1, (int)64>, (int)8, (int)128, (int)0, (bool)0, __half, __half>(T6 *, unsigned char *, T6 *, T6 *, T6 *, const long long *, const int *, int, long long, long long, int, int, onnxruntime::llm::kernels::cutlass_kernels::ActivationParams, const int *, int)"
5.6,88010400,1365,64476.5,63328.0,60000,424384,12612.3,"void onnxruntime::llm::kernels::fpA_intB_gemv::moe_gemv_fused_finalize_kernel<onnxruntime::llm::kernels::fpA_intB_gemv::KernelDetails<onnxruntime::llm::kernels::fpA_intB_gemv::FP16DetailsA, onnxruntime::llm::kernels::fpA_intB_gemv::Int4DetailsW, onnxruntime::llm::kernels::fpA_intB_gemv::ColumnMajorInterleaved, (bool)1, (int)64>, (int)2, (int)128, (int)0, (bool)0, __half, __half>(T6 *, unsigned char *, T6 *, T6 *, T6 *, const int *, const int *, const float *, int, long long, long long, int, int, int, int)"
5.2,82638497,16445,5025.1,5344.0,2208,675072,7967.8,"void onnxruntime::cuda::cuApplyLayerNorm<float, float, float, (bool)1>(T3 *, T2 *, T2 *, const T1 *, int, int, T2, const T3 *, const T3 *, int, const T1 *, const T1 *, T1 *)"
1.6,24749024,1365,18131.2,17696.0,15968,378304,9816.1,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)0, (bool)0, (int)9, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)"
0.7,10344896,10985,941.7,832.0,640,290688,3708.7,"void onnxruntime::cuda::_UnaryElementWise<__half, float, onnxruntime::cuda::OP_Cast<__half, float>, (int)256, (int)4>(const T1 *, T2 *, T3, long long)"
0.6,9284096,10985,845.2,832.0,640,8064,257.8,"void onnxruntime::cuda::_UnaryElementWise<float, __half, onnxruntime::cuda::OP_Cast<float, __half>, (int)256, (int)4>(const T1 *, T2 *, T3, long long)"
0.5,8568608,5460,1569.3,1344.0,992,11008,548.3,"void onnxruntime::cuda::_BinaryElementWiseSimple<(bool)1, (bool)1, float, float, float, onnxruntime::cuda::OP_Add<float, float, float>, (int)256, (int)4, int>(const T4 *, const T5 *, T3 *, T6, T9)"
0.5,8091072,1365,5927.5,5920.0,5024,13312,707.2,"void onnxruntime::contrib::cuda::SoftmaxTopKMergeKernel<__half, (int)128, (int)4>(const T1 *, float *, int *, int, int, int, bool)"
0.5,7657568,4550,1683.0,1600.0,1216,13536,709.1,"void onnxruntime::contrib::cuda::QkNormRotaryTNH<__half>(T1 *, const T1 *, const T1 *, const T1 *, const int *, const int *, const T1 *, float, int, int, int, int, bool, int3, int3)"
0.5,7558912,2730,2768.8,2560.0,2048,19584,855.1,"void onnxruntime::contrib::cuda::ReshapeAndCache<__half, __half, onnxruntime::contrib::cuda::DerivedSlotResolver>(const T1 *, const T1 *, T2 *, T2 *, const float *, const float *, bool, bool, T3, long long, int, int, int, long long)"
0.4,6026560,1365,4415.1,4448.0,3680,10528,538.2,"void onnxruntime::llm::kernels::cutlass_kernels::blockExpertPrefixSumKernel<(int)512>(const int *, int *, int *, long long, long long, int)"
0.2,3879648,2730,1421.1,1376.0,1120,9600,577.9,"void onnxruntime::contrib::cuda::GetCumulativeSeqlensKV<(int)256>(int *, const int *, const int *, int)"
0.2,3246400,1365,2378.3,2080.0,1760,374272,10076.7,"onnxruntime::llm::kernels::cutlass_kernels::mergeExpertPrefixSumKernel(const int *, const int *, const int *, int *, int *, int *, int)"
0.1,2073856,1365,1519.3,1440.0,1184,5120,322.8,"void onnxruntime::cuda::_UnaryElementWise<__half, __half, onnxruntime::contrib::cuda::OP_QuickGelu<__half>, (int)256, (int)4>(const T1 *, T2 *, T3, long long)"
0.1,1971968,65,30338.0,29440.0,28256,37696,2298.0,"void onnxruntime::contrib::cuda::MatMulFloat4BitsKernelM1<float, (int)64, (bool)0>(T1 *, const T1 *, const unsigned char *, const T1 *, const unsigned char *, int, int, int, int)"
0.1,1884960,63,29920.0,27744.0,25344,58560,7461.3,"void Generators::cuda::iterative_sort::AdaptiveIterativeSortKernel<(int)4, (int)256, (int)4096, (int)7>(const float *, int *, float *, int *, float *, int)"
0.1,1843552,1365,1350.6,1376.0,1088,2912,154.5,"void onnxruntime::llm::kernels::cutlass_kernels::globalExpertPrefixSumKernel<(int)512>(const int *, int *, long long *, long long, long long)"
0.1,1383392,1365,1013.5,928.0,736,7584,401.1,"void onnxruntime::cuda::_BinaryElementWiseSimple<(bool)1, (bool)1, __half, __half, __half, onnxruntime::cuda::OP_Mul<__half, __half, __half>, (int)256, (int)4, int>(const T4 *, const T5 *, T3 *, T6, T9)"
0.0,220384,130,1695.3,1728.0,1056,3968,557.5,"void onnxruntime::cuda::_GatherKernel<short>(long long, long long, onnxruntime::cuda::DivMod<int>, onnxruntime::cuda::DivMod<int>, const void *, unsigned long long, const T1 *, T1 *, int)"
0.0,183136,63,2906.9,2656.0,2368,6048,692.9,"Generators::cuda::ConvertFp16ToFp32(const __half *, float *, int)"
0.0,170880,63,2712.4,2592.0,2464,4320,422.3,"Generators::cuda::CheckForEOSAndPad(int *, int, bool *, const int *, int, int, bool *)"
0.0,113440,65,1745.2,1600.0,1536,4672,507.8,"void onnxruntime::cuda::_BinaryElementWiseSimple<(bool)0, (bool)1, int, int, int, onnxruntime::cuda::OP_Sub<int, int, int>, (int)256, (int)4, int>(const T4 *, const T5 *, T3 *, T6, T9)"
0.0,110272,63,1750.3,1696.0,1504,2560,222.8,"void Generators::cuda::FusedSamplingKernel<(int)256>(int *, const float *, const int *, int, float, float, int, curandStateXORWOW *, const int *)"
0.0,108672,65,1671.9,1504.0,928,7264,784.6,"void onnxruntime::cuda::_SliceKernel<(bool)0, (int)1, int>(onnxruntime::cuda::TArray<long long, (int)8>, onnxruntime::cuda::TArray<long long, (int)8>, onnxruntime::cuda::TArray<long long, (int)8>, onnxruntime::cuda::TArray<onnxruntime::cuda::DivMod<int>, (int)8>, const T3 *, T3 *, int)"
0.0,100544,63,1595.9,1472.0,1440,2848,330.0,"Generators::cuda::GatherCurandStatesKernel(const curandStateXORWOW *, const int *, curandStateXORWOW *, int)"
0.0,62496,63,992.0,832.0,768,1632,302.0,"Generators::cuda::AppendNextTokensToSequences(const int *, int *, int, int, int, int)"
