Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
92.9,5455926171,254,21480024.3,21099207.0,20451792,26507632,1014743.8,cudaDeviceSynchronize
2.4,138357358,1,138357358.0,138357358.0,138357358,138357358,0.0,cudaProfilerStart
1.4,80776671,1277,63255.0,45088.0,1872,746016,112942.3,cudaFreeHost
0.9,54500719,5349,10189.0,4800.0,720,358015,25339.8,cudaLaunchKernel
0.8,49684143,265,187487.3,6880.0,464,20869519,1413601.1,cudaStreamSynchronize
0.8,45047247,255,176655.9,165168.0,146672,531744,44934.7,cudaGraphLaunch
0.4,24003536,1,24003536.0,24003536.0,24003536,24003536,0.0,cudaGraphInstantiate
0.3,16733007,2811,5952.7,5744.0,1232,309104,10229.4,cudaMemcpyAsync
0.1,5300432,1275,4157.2,2960.0,2448,35392,2761.0,cudaHostAlloc
0.1,3962560,189,20965.9,4672.0,800,323840,52962.0,cudaLaunchKernelExC
0.0,611424,5349,114.3,96.0,32,2304,103.2,cuKernelGetName
0.0,459968,1,459968.0,459968.0,459968,459968,0.0,cudaGraphDestroy
0.0,59120,2,29560.0,29560.0,21376,37744,11573.9,cudaMemGetInfo
0.0,31920,66,483.6,336.0,208,7744,918.9,cudaStreamIsCapturing
0.0,31664,5,6332.8,4112.0,2688,15584,5250.5,cudaFree
0.0,24288,1,24288.0,24288.0,24288,24288,0.0,cudaStreamEndCapture
0.0,19024,3,6341.3,5776.0,1472,11776,5175.2,cuLaunchKernel
0.0,15856,132,120.1,104.0,64,496,51.9,cuStreamGetGreenCtx
0.0,14320,1,14320.0,14320.0,14320,14320,0.0,cudaStreamBeginCapture
0.0,6688,3,2229.3,1632.0,736,4320,1865.2,cuKernelGetFunction
