Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
32.1,1746266562,69904,24980.9,25632.0,8480,1642496,22289.2,"void onnxruntime::contrib::cuda::MatMulFloat4BitsKernelM1<__half, (int)64, (bool)0>(T1 *, const T1 *, const unsigned char *, const T1 *, const unsigned char *, int, int, int, int)"
26.6,1444949319,257,5622370.9,5550912.0,5294784,6922528,224339.8,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2>(T1::Params)
12.6,683424506,5397,126630.4,122144.0,117440,1017568,37214.4,"void onnxruntime::llm::kernels::fpA_intB_gemv::moe_gemv_interleaved_swiglu_kernel<onnxruntime::llm::kernels::fpA_intB_gemv::KernelDetails<onnxruntime::llm::kernels::fpA_intB_gemv::FP16DetailsA, onnxruntime::llm::kernels::fpA_intB_gemv::Int4DetailsW, onnxruntime::llm::kernels::fpA_intB_gemv::ColumnMajorInterleaved, (bool)1, (int)64>, (int)8, (int)128, (int)0, (bool)0, __half, __half>(T6 *, unsigned char *, T6 *, T6 *, T6 *, const long long *, const int *, int, long long, long long, int, int, onnxruntime::llm::kernels::cutlass_kernels::ActivationParams, const int *, int)"
6.2,337868315,5397,62603.0,61152.0,58688,715296,20358.0,"void onnxruntime::llm::kernels::fpA_intB_gemv::moe_gemv_fused_finalize_kernel<onnxruntime::llm::kernels::fpA_intB_gemv::KernelDetails<onnxruntime::llm::kernels::fpA_intB_gemv::FP16DetailsA, onnxruntime::llm::kernels::fpA_intB_gemv::Int4DetailsW, onnxruntime::llm::kernels::fpA_intB_gemv::ColumnMajorInterleaved, (bool)1, (int)64>, (int)2, (int)128, (int)0, (bool)0, __half, __half>(T6 *, unsigned char *, T6 *, T6 *, T6 *, const int *, const int *, const float *, int, long long, long long, int, int, int, int)"
6.2,335862169,1799,186693.8,172512.0,99776,882112,63890.3,"void onnxruntime::flash::flash_fwd_splitkv_kernel<onnxruntime::flash::Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::half_t, onnxruntime::flash::Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::half_t>>, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(onnxruntime::flash::Flash_fwd_params)"
5.3,286369407,65021,4404.3,5024.0,2176,627680,3781.6,"void onnxruntime::cuda::cuApplyLayerNorm<float, float, float, (bool)1>(T3 *, T2 *, T2 *, const T1 *, int, int, T2, const T3 *, const T3 *, int, const T1 *, const T1 *, T1 *)"
4.7,253380474,8995,28169.0,27104.0,21088,3631520,40055.0,"void onnxruntime::flash::flash_fwd_splitkv_kernel<onnxruntime::flash::Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::half_t, onnxruntime::flash::Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::half_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(onnxruntime::flash::Flash_fwd_params)"
1.8,96259902,5397,17835.8,17472.0,15680,462400,8719.5,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __half, __half, __half, float, (bool)0, (bool)1, (bool)0, (bool)0, (int)9, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)"
0.6,33918208,43433,780.9,736.0,640,678176,3802.6,"void onnxruntime::cuda::_UnaryElementWise<__half, float, onnxruntime::cuda::OP_Cast<__half, float>, (int)256, (int)4>(const T1 *, T2 *, T3, long long)"
0.6,32716704,43433,753.3,736.0,640,227648,1098.2,"void onnxruntime::cuda::_UnaryElementWise<float, __half, onnxruntime::cuda::OP_Cast<float, __half>, (int)256, (int)4>(const T1 *, T2 *, T3, long long)"
0.5,29825312,21588,1381.6,1152.0,992,6016,433.3,"void onnxruntime::cuda::_BinaryElementWiseSimple<(bool)1, (bool)1, float, float, float, onnxruntime::cuda::OP_Add<float, float, float>, (int)256, (int)4, int>(const T4 *, const T5 *, T3 *, T6, T9)"
0.5,29778879,5397,5517.7,5216.0,4992,512960,6940.4,"void onnxruntime::contrib::cuda::SoftmaxTopKMergeKernel<__half, (int)128, (int)4>(const T1 *, float *, int *, int, int, int, bool)"
0.5,26232895,17990,1458.2,1472.0,1216,7232,232.7,"void onnxruntime::contrib::cuda::QkNormRotaryTNH<__half>(T1 *, const T1 *, const T1 *, const T1 *, const int *, const int *, const T1 *, float, int, int, int, int, bool, int3, int3)"
0.5,25196512,10794,2334.3,2144.0,1952,9248,496.6,"void onnxruntime::contrib::cuda::ReshapeAndCache<__half, __half, onnxruntime::contrib::cuda::DerivedSlotResolver>(const T1 *, const T1 *, T2 *, T2 *, const float *, const float *, bool, bool, T3, long long, int, int, int, long long)"
0.4,22004896,5397,4077.2,3968.0,3680,19328,496.4,"void onnxruntime::llm::kernels::cutlass_kernels::blockExpertPrefixSumKernel<(int)512>(const int *, int *, int *, long long, long long, int)"
0.3,14313600,10794,1326.1,1184.0,1088,624448,7299.4,"void onnxruntime::contrib::cuda::GetCumulativeSeqlensKV<(int)256>(int *, const int *, const int *, int)"
0.2,11048607,5397,2047.2,1984.0,1760,9152,270.4,"onnxruntime::llm::kernels::cutlass_kernels::mergeExpertPrefixSumKernel(const int *, const int *, const int *, int *, int *, int *, int)"
0.1,7204352,257,28032.5,27840.0,27040,33888,772.5,"void onnxruntime::contrib::cuda::MatMulFloat4BitsKernelM1<float, (int)64, (bool)0>(T1 *, const T1 *, const unsigned char *, const T1 *, const unsigned char *, int, int, int, int)"
0.1,7030752,5397,1302.7,1248.0,1152,6016,183.3,"void onnxruntime::cuda::_UnaryElementWise<__half, __half, onnxruntime::contrib::cuda::OP_QuickGelu<__half>, (int)256, (int)4>(const T1 *, T2 *, T3, long long)"
0.1,6902656,5397,1279.0,1280.0,1088,5312,163.6,"void onnxruntime::llm::kernels::cutlass_kernels::globalExpertPrefixSumKernel<(int)512>(const int *, int *, long long *, long long, long long)"
0.1,4412959,5397,817.7,800.0,704,3648,107.8,"void onnxruntime::cuda::_BinaryElementWiseSimple<(bool)1, (bool)1, __half, __half, __half, onnxruntime::cuda::OP_Mul<__half, __half, __half>, (int)256, (int)4, int>(const T4 *, const T5 *, T3 *, T6, T9)"
0.1,3433920,255,13466.4,12128.0,11712,51968,5233.3,"void Generators::cuda::select_sort::GetTop1Kernel<(int)1024>(const float *, float *, int *, int, int)"
0.0,784128,514,1525.5,1360.0,1024,5568,575.3,"void onnxruntime::cuda::_GatherKernel<short>(long long, long long, onnxruntime::cuda::DivMod<int>, onnxruntime::cuda::DivMod<int>, const void *, unsigned long long, const T1 *, T1 *, int)"
0.0,613760,255,2406.9,2496.0,1696,5152,580.4,"Generators::cuda::ConvertFp16ToFp32(const __half *, float *, int)"
0.0,456320,255,1789.5,1504.0,1440,4736,818.8,"Generators::cuda::GatherCurandStatesKernel(const curandStateXORWOW *, const int *, curandStateXORWOW *, int)"
